category,name,cuisine,meal_type,protein,carbs,distance_miles,notes,tried,rating,rating_note
familiar_restaurant,Parlor,American/Mexican,dinner,any,any,22,"Multiple restaurants & bar",yes,,
familiar_restaurant,Chick-fil-A,American/Fast Food,lunch-dinner,chicken,bread/bun,5,"Classic fave",yes,,
familiar_restaurant,Taco Bell,Mexican/Fast Food,dinner,any,tortilla,6,"Late night go-to",yes,,
familiar_restaurant,Cava,Mediterranean,lunch-dinner,vegetarian,pita/rice,7,"Build your own bowl",yes,,
familiar_restaurant,Domino's,Pizza,dinner,any,pizza dough,4,"Delivery friendly",yes,,
familiar_restaurant,North Italia,Italian,dinner,any,pasta,10,"Nicer sit-down Italian",yes,,
familiar_restaurant,Korma Sutra,Indian,lunch-dinner,any,rice/naan,12,"Great Indian food",yes,,
familiar_restaurant,Panda Express,Chinese/Fast Food,lunch-dinner,any,rice,5,"Quick Chinese",yes,,
familiar_restaurant,Chipotle,Mexican,lunch-dinner,any,tortilla/rice,6,"Build your own",yes,,
familiar_restaurant,Wise Guy,Pizza/Italian,dinner,any,pizza dough/pasta,9,"Local pizza",yes,,
familiar_restaurant,Extra Virgin,American/International,dinner,any,any,11,"Upscale date night",yes,,
familiar_restaurant,Chili's,American,lunch-dinner,any,any,7,"Casual American",yes,,
familiar_restaurant,KC Craft Ramen,Asian,dinner,any,any,14,"Local Ramen spot",yes,,
familiar_restaurant,Cactus Grill,Mexican,dinner,any,tortilla/rice,8,"Local Mexican",yes,,
familiar_restaurant,Jose Peppers,Mexican,dinner,any,tortilla/rice,9,"Tex-Mex vibes",yes,,
familiar_restaurant,30 Hop,American/Bar,dinner,beef/vegeterian,bread/bun,10,"50% off Mondays",yes,,
familiar_restaurant,Panera Bread,American/Cafe,breakfast-lunch,any,bread/bagel,6,"Soup and sandwiches",yes,,
familiar_restaurant,McAlister's Deli,American/Deli,lunch-dinner,any,bread,21,"Deli classics",yes,,
familiar_restaurant,Texas Roadhouse,American/Steakhouse,dinner,beef,bread/bun,8,"Steak night",yes,,
familiar_restaurant,Unforked,American,lunch-dinner,beef/vegeterian,bread/bun,9,"Fresh and local",yes,,
familiar_restaurant,MOD Pizza,Pizza,lunch-dinner,any,pizza dough,6,"Build your own pizza",yes,,
familiar_restaurant,Cheddar's,American,lunch-dinner,any,any,8,"Comfort food",yes,,
familiar_restaurant,Cheesecake Factory,American,lunch-dinner,any,any,12,"Massive menu",yes,,
familiar_restaurant,Olive Garden,Italian,dinner,any,pasta,8,"Family Italian",yes,,
familiar_restaurant,Peanut,American/Bar,dinner,any,any,13,"Fun bar atmosphere",yes,,
familiar_restaurant,Burrito King,Mexican,lunch-dinner,any,tortilla,46,"Lawrence burrito spot",yes,,
familiar_restaurant,AMC Prairiefire Dine-In,American/Theater,lunch-dinner,any,any,10,"Movies + food",yes,,
familiar_restaurant,FirstWatch,American/Brunch,breakfast-lunch,any,any,8,"Best breakfast spot",yes,,
familiar_restaurant,Homegrown,American/Brunch,breakfast-lunch,any,any,9,"Local brunch gem",yes,,
familiar_restaurant,Snooze,American/Brunch,breakfast-lunch,any,any,11,"Fun brunch vibes",yes,,
familiar_restaurant,Another Broken Egg,American/Brunch,breakfast-lunch,any,any,10,"Southern brunch",yes,,
familiar_restaurant,The Rooster,American/Brunch,breakfast-lunch,any,any,8,"Cozy breakfast",yes,,
familiar_restaurant,Taylor's Donuts,Bakery/Cafe,breakfast,any,pastry,46,"Best donuts in Lawrence",yes,,
new_restaurant,Motti Mehal,Indian,dinner,any,rice/naan,15,"On the list!",no,,
new_restaurant,Burger Stand,American/Burgers,lunch-dinner,beef/vegeterian,bread/bun,45,"Best burgers in Lawrence",no,,
new_restaurant,Papa Kenos Pizzeria,Pizza/Italian,lunch-dinner,any,pizza dough,45,"Lawrence pizza spot",no,,
new_restaurant,Limestone Pizza,American/Pizza,dinner,any,pasta/pizza dough,45,"Lawrence — date night",no,,
new_restaurant,Chai Cafe,Indian/Cafe,breakfast-lunch-dinner,any,any,12,"Chai and bites",no,,
new_restaurant,Raj Express,Indian,lunch-dinner,any,rice/naan,11,"Quick Indian",no,,
new_restaurant,Artego Pizza,Pizza,lunch-dinner,any,pizza dough,8,"Local pizza",no,,
new_restaurant,Zero Zero,Italian/Pasta,dinner,any,pasta,10,"Homemade Pasta",no,,
new_restaurant,Bravo!,Italian,dinner,any,pasta,9,"Italian sit-down",no,,
new_restaurant,Swagat,Indian,dinner,any,rice/naan,13,"Authentic Indian",no,,
new_restaurant,Blue Sushi,Japanese/Sushi,dinner,fish,rice,10,"Sushi night",no,,
new_restaurant,YaYas Euro Bistro,Mediterranean/Greek,dinner,any,any,11,"Mediterranean flavors",no,,
new_restaurant,Mi Ranchitos,Mexican,lunch-dinner,any,tortilla/rice,7,"Local Mexican",no,,
new_restaurant,Culver's,American/Fast Food,lunch-dinner,beef/vegeterian,bread/bun,6,"Butter burgers!",no,,
new_restaurant,Coach's Bar & Grill,American/Bar,dinner,any,any,9,"Sports bar vibes",no,,
new_restaurant,Sickies Garage,American/Burgers,lunch-dinner,any,any,8,"Crazy burger menu",no,,
new_restaurant,Torchy's Tacos,Mexican/Tacos,lunch-dinner,any,tortilla,8,"Fancy tacos",no,,
new_restaurant,Chicken & Pickle,American,lunch-dinner,chicken,any,10,"Pickleball + food!",no,,
new_restaurant,Vottero,Itailan/French,breakfast-lunch,any,any,0,"Ooh La La",no,,
familiar_home,Spaghetti Bolognese,Italian,dinner,beef,pasta,0,"Classic weeknight pasta",yes,,
familiar_home,Chicken Tacos,Mexican,dinner,chicken,tortilla,0,"Easy taco night",yes,,
familiar_home,Grilled Salmon,American,dinner,fish,any,0,"Healthy option",yes,,
familiar_home,Homemade Pizza,Italian,dinner,any,pizza dough,0,"DIY pizza night",yes,,
familiar_home,Stir Fry,Asian,dinner,any,rice,0,"Quick and easy",yes,,
familiar_home,Burgers on the Grill,American,dinner,beef,bread/bun,0,"Backyard classic",yes,,
familiar_home,Pancakes & Bacon,American,breakfast,pork,any,0,"Weekend breakfast",yes,,
familiar_home,Scrambled Eggs & Toast,American,breakfast,egg,bread,0,"Simple morning",yes,,
new_home,Butter Chicken,Indian,dinner,chicken,rice/naan,0,"Want to try making this!",no,,
new_home,Homemade Ramen,Japanese,dinner,any,noodles,0,"Weekend project",no,,
new_home,Sheet Pan Fajitas,Mexican,dinner,chicken,tortilla,0,"Easy and colorful",no,,
new_home,Shakshuka,Mediterranean,breakfast-dinner,egg,bread,0,"Eggs in tomato sauce",no,,
new_home,Beef Birria Tacos,Mexican,dinner,beef,tortilla,0,"Dipping tacos!",no,,
new_home,Thai Green Curry,Thai,dinner,any,rice,0,"Fragrant and rich",no,,
